Be7_Inj	Be7_Rec	Be7_RMS	pep_Inj	pep_Rec	pep_RMS	Bi210_Inj	Bi210_Rec	Bi210_RMS	K40_Inj	K40_Rec	K40_RMS	Kr85_Inj	Kr85_Rec	Kr85_RMS	U238_Inj	U238_Rec	U238_RMS	Th232_Inj	Th232_Rec	Th232_RMS	Po210_Inj	Po210_Rec	Po210_RMS	CNO_Inj	CNO_Rec	CNO_RMS	C10_2_Inj	C10_2_Rec	C10_2_RMS	He6_2_Inj	He6_2_Rec	He6_2_RMS	C11_Inj	C11_Rec	C11_RMS	C11_2_Inj	C11_2_Rec	C11_2_RMS	Chi2NDF
49.0155	49.1166	0.241363	2.80164	2.94543	0.230282	120.277	121.081	1.53123	22.8878	22.8735	0.0919094	49.99	50.5016	0.569052	150.481	150.322	0.17259	35.0984	35.1775	0.0857639	122.075	122.069	0.0375223	5.0266	3.52954	2.46975	3.6931	0.188399	13.9465	2.79084	2.59745	0.301106	19.1608	19.1677	0.0471759	594.069	594.164	0.152461	44071.1
49.0205	49.4661	0.22475	2.80099	2.90917	0.17922	120.243	119.597	1.15459	22.8975	22.9971	0.0912822	50.01	49.3972	0.510316	150.496	150.644	0.171829	35.098	35.1006	0.085273	122.146	122.193	0.0376564	5.03151	4.92027	1.84839	3.70208	9.0601	3.37594	2.80443	3.05331	0.297224	19.1624	19.1371	0.0426321	593.988	593.854	0.150627	44047.1
49.0128	49.0342	0.224458	2.79655	2.75734	0.180986	120.31	119.324	1.17535	22.9087	22.8351	0.0912978	49.9981	49.4337	0.511827	150.492	150.414	0.171253	35.1144	35.0849	0.0850604	122.067	122.088	0.037637	5.02386	6.87332	1.88288	3.70248	8.18909	3.32248	2.80349	2.83019	0.296401	19.1548	19.1508	0.0429851	594.014	593.955	0.150615	43996.8
49.0067	48.9238	0.223614	2.80825	3.21596	0.179043	120.314	122.15	1.15022	22.8932	22.8861	0.0910083	50.0114	50.6953	0.509911	150.448	150.591	0.169537	35.0922	35.175	0.0850808	122.12	122.12	0.0376566	5.02688	1.56342	1.82243	3.70316	2.93778	3.22278	2.79936	2.59305	0.297793	19.1649	19.1619	0.0424387	593.958	594.035	0.150251	44044.7
48.9946	48.9837	0.226022	2.79936	3.05568	0.184605	120.309	121.985	1.18976	22.8961	22.8848	0.091416	50.0034	49.8737	0.514508	150.529	150.757	0.171768	35.0965	35.1403	0.0856464	122.085	122.107	0.0377195	5.02946	2.27611	1.89218	3.70441	9.88692	3.37688	2.80123	2.40928	0.291379	19.1568	19.1566	0.0430544	594.05	594.169	0.15001	44014.2
48.977	48.9721	0.223218	2.80062	2.78318	0.176731	120.259	119.474	1.13568	22.8964	22.8613	0.0914551	50.001	49.2641	0.504657	150.483	150.459	0.171742	35.0741	35.0437	0.0853037	122.098	122.155	0.0377014	5.02222	6.42546	1.81665	3.70071	10.6108	3.38905	2.80012	2.08302	0.297479	19.1574	19.1191	0.0424294	594	594.152	0.150793	44098.9
49.0147	48.8308	0.227362	2.79651	2.38801	0.191176	120.289	117.775	1.23617	22.8895	23.0828	0.0915112	50.0016	49.7673	0.521983	150.493	150.688	0.171689	35.0936	35.2274	0.0852867	122.143	122.116	0.0375308	5.0255	8.40279	1.98799	3.69881	0.00935932	18.432	2.80103	3.32255	0.300496	19.1588	19.0838	0.0434386	593.916	593.698	0.15075	44034.6
49.0119	49.1682	0.22201	2.79591	2.75467	0.174643	120.276	121.454	1.11591	22.9105	22.9531	0.0911038	49.9764	49.4342	0.506153	150.452	150.538	0.171917	35.0881	35.0502	0.0851704	122.1	122.124	0.0376322	5.03155	3.47361	1.79006	3.69782	2.12352e-06	12.252	2.80071	2.37954	0.286998	19.1688	19.2053	0.0419886	593.949	594.151	0.149931	44101.8
49.0182	49.6284	0.229963	2.79645	2.95839	0.178048	120.306	120.417	1.15037	22.9072	22.9552	0.0915282	49.9983	49.5554	0.508613	150.496	150.821	0.173615	35.0725	35.1992	0.0852323	122.066	122.044	0.0376387	5.03268	3.50822	1.85006	3.69672	6.53441	3.38188	2.79593	2.91837	0.296801	19.1536	19.1255	0.0425471	593.925	593.81	0.150358	44032
49.0043	49.266	0.223109	2.79282	2.95051	0.176674	120.374	120.998	1.12577	22.9083	23.0411	0.0910561	50.0365	50.2772	0.50585	150.546	150.671	0.171524	35.0895	35.2116	0.0852384	122.07	122.048	0.0376163	5.02943	3.11452	1.79514	3.69654	6.07695	3.35927	2.80336	2.48113	0.296529	19.1483	19.1236	0.042132	593.938	593.999	0.150016	44013.3
48.9987	48.876	0.225001	2.79572	2.58896	0.184207	120.309	118.803	1.17267	22.9105	22.9407	0.0911825	50.0359	49.4301	0.514451	150.523	150.428	0.171561	35.1024	35.1886	0.0852174	122.137	122.204	0.037724	5.02278	7.39531	1.88513	3.69835	1.87169	3.04007	2.79931	2.73414	0.296561	19.1456	19.0971	0.042444	593.967	593.9	0.149919	44030.8
48.9758	49.188	0.238515	2.79894	3.005	0.222945	120.235	120.77	1.47619	22.9019	22.9131	0.0917411	50.0038	50.0026	0.559887	150.435	150.587	0.172416	35.0819	35.0181	0.0856448	122.067	122.034	0.0375206	5.0335	3.82616	2.38086	3.70398	1.59754	3.21824	2.80499	2.89322	0.297105	19.1424	19.1444	0.0464006	594.083	594.035	0.151935	43949
48.9795	48.8994	0.222908	2.80079	2.62734	0.176994	120.304	119.942	1.14639	22.904	23.0376	0.0908645	49.9589	49.8943	0.509855	150.482	150.49	0.171689	35.08	35.118	0.0850037	122.082	122.072	0.0376018	5.0274	5.56703	1.82854	3.69693	3.33361	3.23625	2.8053	2.59021	0.298565	19.1636	19.1423	0.0423594	593.815	593.839	0.150239	44112.5
48.9954	49.0701	0.223594	2.79956	2.9927	0.179917	120.288	121.161	1.15001	22.9094	22.7875	0.0912487	50.0184	50.8173	0.507028	150.52	150.075	0.172087	35.0925	35.0415	0.0852671	122.091	122.08	0.0376379	5.0353	4.12572	1.83608	3.70135	3.56705	3.39492	2.79798	2.92382	0.296962	19.1677	19.225	0.0423737	593.917	593.961	0.150501	44031.1
48.983	49.2147	0.223362	2.80134	2.99144	0.179202	120.293	121.226	1.14862	22.913	22.9981	0.0913986	50.0498	50.1385	0.508299	150.467	150.54	0.171228	35.0682	35.0077	0.0850411	122.123	122.141	0.0376038	5.02728	3.06777	1.83201	3.70101	6.35777	3.36709	2.79542	3.19394	0.296961	19.1741	19.1942	0.0424382	593.855	593.65	0.150365	43934.7
48.9752	49.0202	0.221691	2.80077	2.80899	0.17505	120.332	119.545	1.13665	22.9087	23.0213	0.0913349	49.9982	49.6931	0.507233	150.499	150.794	0.171278	35.0993	35.076	0.0851024	122.103	122.095	0.0375269	5.0278	5.61947	1.8127	3.69961	4.98007	3.35677	2.80052	2.76448	0.296338	19.1533	19.0925	0.0421874	593.946	593.83	0.149905	43916.9
49.0039	49.0538	0.228721	2.79754	2.49125	0.195441	120.329	119.326	1.26864	22.8937	22.9675	0.0913151	50.0029	49.4596	0.526827	150.5	150.371	0.171779	35.0841	35.0592	0.0852953	122.088	122.123	0.0375245	5.02896	6.99138	2.0414	3.70117	5.8103e-09	1.02856	2.80534	2.7191	0.290972	19.1613	19.176	0.043755	594.02	594.065	0.150591	44082.5
48.9945	49.2837	0.262344	2.80396	3.00131	0.282226	120.301	121.446	1.91126	22.9079	23.0774	0.0926715	50.0107	50.8613	0.637815	150.503	150.311	0.174075	35.0684	35.1797	0.0865146	122.062	122.034	0.0375276	5.03177	2.53458	3.06916	3.69555	7.44464	3.37533	2.80686	2.72165	0.296972	19.1583	19.1534	0.0525335	593.944	593.91	0.154832	44124.7
49.0164	48.4516	0.224875	2.80878	2.77322	0.183522	120.272	120.727	1.1876	22.916	22.8416	0.0913662	49.9939	50.7336	0.512797	150.509	150.476	0.171541	35.0665	35.0314	0.0851255	122.109	122.094	0.0376149	5.03952	5.01853	1.91459	3.69528	6.24394	3.34532	2.79939	2.87146	0.296493	19.1677	19.1977	0.0428344	593.901	593.893	0.150629	44139.4
48.9687	48.3471	0.224143	2.80512	2.65047	0.181962	120.335	119.04	1.17138	22.9073	22.8631	0.0909187	49.9825	49.692	0.510885	150.503	150.931	0.171069	35.0747	35.1292	0.0846563	122.088	122.088	0.0376366	5.03694	7.01198	1.87545	3.69804	3.3363	3.32151	2.80571	3.09094	0.296698	19.1816	19.1289	0.0423682	593.839	593.69	0.150347	43971.9
48.9805	49.0426	0.223594	2.80284	2.93571	0.176256	120.315	119.679	1.13583	22.9088	23.0038	0.0909998	50.0234	50.205	0.505978	150.546	150.589	0.171478	35.0693	35.0438	0.0849515	122.089	122.056	0.0375482	5.02764	5.41801	1.81822	3.69855	7.99273	3.34565	2.80192	2.84775	0.297146	19.1613	19.1101	0.0422659	593.978	593.854	0.149741	43965.7
49.0139	48.8014	0.225644	2.80066	2.79589	0.184892	120.303	120.782	1.19598	22.9114	22.7641	0.091257	49.9883	49.5772	0.513339	150.546	150.835	0.171293	35.0895	35.0715	0.08498	122.121	122.106	0.0375408	5.03396	4.84621	1.909	3.69477	4.49062e-08	2.25789	2.80186	2.65422	0.291408	19.1484	19.1594	0.042851	593.831	593.907	0.15017	44060.6
48.9895	48.7451	0.22283	2.801	2.90882	0.175271	120.269	120.377	1.13727	22.9053	22.881	0.0902864	50.0071	50.3739	0.503473	150.488	150.683	0.169486	35.0492	35.1002	0.0849038	122.111	122.077	0.037556	5.03355	4.62279	1.81852	3.70282	3.25593	3.39155	2.79606	2.13542	0.299716	19.1543	19.1259	0.0420189	593.952	594.198	0.148998	43985.3
48.9761	48.9901	0.224042	2.79406	2.96732	0.181524	120.308	121.853	1.16843	22.8863	22.8646	0.0913166	50.015	50.6592	0.511123	150.437	150.227	0.171432	35.101	35.1834	0.0851637	122.083	122.089	0.0375204	5.03575	2.64647	1.85989	3.69255	5.58206	3.36507	2.80791	2.59451	0.296457	19.1717	19.2223	0.0427206	594.002	594.159	0.150474	43953.8
48.9914	49.0137	0.222152	2.80385	2.83944	0.169749	120.349	120.961	1.0934	22.905	22.9624	0.0910475	49.9822	49.6892	0.492134	150.464	150.485	0.171294	35.0727	34.9518	0.0850728	122.083	122.088	0.0374539	5.02954	4.41546	1.74943	3.69606	7.81793	3.37999	2.80052	2.36844	0.296479	19.1566	19.1657	0.0416527	593.896	594.043	0.150211	44098.7
48.9916	49.2262	0.223893	2.80312	2.71441	0.178342	120.288	120.69	1.15297	22.9013	22.9346	0.0917482	49.9837	49.4928	0.509733	150.527	150.586	0.171921	35.0946	35.0623	0.0854454	122.1	122.124	0.0375444	5.02037	4.43089	1.8428	3.69903	4.15535	3.44363	2.79404	2.71061	0.2968	19.144	19.1769	0.0426093	593.936	593.967	0.150704	44010.5
49.0326	49.0018	0.229947	2.80102	2.81916	0.198851	120.327	119.531	1.29498	22.9027	23.0461	0.091467	50.0009	50.7092	0.530833	150.489	150.207	0.17187	35.0722	35.0116	0.0853323	122.105	122.08	0.0375298	5.03108	6.15652	2.08494	3.69513	1.4264	3.18916	2.80005	2.74301	0.297065	19.1679	19.1063	0.0440899	594.011	594.052	0.150966	43872.7
49.0092	49.1295	0.225072	2.79911	2.89032	0.179596	120.354	119.958	1.15271	22.904	22.9511	0.0911936	50.0029	50.3101	0.506742	150.464	150.336	0.171592	35.0973	35.2893	0.0856643	122.104	122.098	0.0376075	5.0208	5.10556	1.86148	3.70352	5.94179	3.38943	2.79889	2.63499	0.297063	19.1428	19.065	0.0421166	593.971	593.935	0.149783	43963.2
